TITLE_KEY,SHOW_ID,TYPE,TITLE,DIRECTOR,DATE_ADDED,RELEASE_YEAR,VOTE_AVERAGE,LANGUAGE,POPULARITY,VOTE_COUNT,BUDGET,REVENUE,HAS_FINANCIAL_DATA,SEASONS
10192_Movie,10192,Movie,Shrek Forever After,Mike Mitchell,2010-05-16,2010,6.38,en,203.893,7449,165000000,752600867,TRUE,
27205_Movie,27205,Movie,Inception,Christopher Nolan,2010-07-15,2010,8.369,en,156.242,37119,160000000,839030630,TRUE,
12444_Movie,12444,Movie,Harry Potter and the Deathly Hallows: Part 1,David Yates,2010-11-17,2010,7.744,en,121.191,19327,250000000,954305868,TRUE,
38757_Movie,38757,Movie,Tangled,"Byron Howard, Nathan Greno",2010-11-24,2010,7.6,en,111.762,11638,260000000,592461732,TRUE,
10191_Movie,10191,Movie,How to Train Your Dragon,"Chris Sanders, Dean DeBlois",2010-03-18,2010,7.8,en,110.044,13259,165000000,494879471,TRUE,
11324_Movie,11324,Movie,Shutter Island,Martin Scorsese,2010-02-14,2010,8.2,en,101.551,24282,80000000,294804195,TRUE,
38575_Movie,38575,Movie,The Karate Kid,Harald Zwart,2010-06-10,2010,6.5,en,96.385,6082,40000000,359126022,TRUE,
10138_Movie,10138,Movie,Iron Man 2,Jon Favreau,2010-04-28,2010,6.8,en,95.255,21222,200000000,623933331,TRUE,
38365_Movie,38365,Movie,Grown Ups,Dennis Dugan,2010-06-24,2010,6.394,en,93.281,6212,80000000,271430189,TRUE,
48650_Movie,48650,Movie,Room in Rome,Julio Medem,2010-05-07,2010,6.416,es,90.23,748,0,844281,FALSE,
20352_Movie,20352,Movie,Despicable Me,"Pierre Coffin, Chris Renaud",2010-07-08,2010,7.2,en,86.361,15258,69000000,543284256,TRUE,
10193_Movie,10193,Movie,Toy Story 3,Lee Unkrich,2010-06-16,2010,7.8,en,83.097,14847,200000000,1067316101,TRUE,
24021_Movie,24021,Movie,The Twilight Saga: Eclipse,David Slade,2010-06-23,2010,6.204,en,81.8,8829,68000000,698491347,TRUE,
12155_Movie,12155,Movie,Alice in Wonderland,Tim Burton,2010-03-03,2010,6.6,en,80.326,14114,200000000,1025467110,TRUE,
73861_Movie,73861,Movie,A Serbian Film,Srđan Spasojević,2010-06-16,2010,5.471,sr,74.238,2018,0,0,FALSE,
38234_Movie,38234,Movie,Undisputed III: Redemption,Isaac Florentine,2010-04-17,2010,7.517,en,71.837,925,3000000,282548,TRUE,
37799_Movie,37799,Movie,The Social Network,David Fincher,2010-10-01,2010,7.368,en,69.048,12285,40000000,224920315,TRUE,
61979_Movie,61979,Movie,Three Steps Above Heaven,Fernando González Molina,2010-12-03,2010,7.7,es,66.968,3095,0,0,FALSE,
32657_Movie,32657,Movie,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,2010-02-01,2010,6.21,en,64.865,7519,95000000,226497209,TRUE,
23168_Movie,23168,Movie,The Town,Ben Affleck,2010-09-15,2010,7.2,en,58.865,5117,37000000,154026136,TRUE,
34851_Movie,34851,Movie,Predators,Nimród Antal,2010-07-03,2010,6.3,en,58.518,4194,40000000,127200000,TRUE,
38055_Movie,38055,Movie,Megamind,Tom McGrath,2010-10-28,2010,6.999,en,58.422,6944,130000000,321885765,TRUE,
10140_Movie,10140,Movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,2010-12-02,2010,6.4,en,53.64,5621,155000000,415686217,TRUE,
27578_Movie,27578,Movie,The Expendables,Sylvester Stallone,2010-08-03,2010,6.248,en,53.249,7827,80000000,274470394,TRUE,
18823_Movie,18823,Movie,Clash of the Titans,Louis Leterrier,2010-03-26,2010,5.9,en,51.888,6308,125000000,493214993,TRUE,
44214_Movie,44214,Movie,Black Swan,Darren Aronofsky,2010-12-03,2010,7.7,en,45.984,14650,13000000,329398046,TRUE,
23483_Movie,23483,Movie,Kick-Ass,Matthew Vaughn,2010-03-26,2010,7.122,en,45.668,11730,28000000,96188903,TRUE,
20526_Movie,20526,Movie,TRON: Legacy,Joseph Kosinski,2010-12-14,2010,6.5,en,44.783,7236,170000000,400062763,TRUE,
52629_Movie,52629,Movie,El Infierno,Luis Estrada,2010-09-03,2010,7.9,es,43.812,691,0,6703873,FALSE,
26389_Movie,26389,Movie,From Paris with Love,Pierre Morel,2010-02-04,2010,6.27,en,43.037,2043,52000000,52800000,TRUE,
10196_Movie,10196,Movie,The Last Airbender,M. Night Shyamalan,2010-06-30,2010,4.6,en,42.597,4004,150000000,319713881,TRUE,
27581_Movie,27581,Movie,The Other Guys,Adam McKay,2010-08-06,2010,6.3,en,40.669,4234,100000000,170432927,TRUE,
47931_Movie,47931,Movie,Elite Squad: The Enemy Within,José Padilha,2010-10-08,2010,7.811,pt,40.66,1879,0,63027681,FALSE,
9543_Movie,9543,Movie,Prince of Persia: The Sands of Time,Mike Newell,2010-05-19,2010,6.3,en,39.509,6807,200000000,336365676,TRUE,
22538_Movie,22538,Movie,Scott Pilgrim vs. the World,Edgar Wright,2010-08-12,2010,7.491,en,39.321,7985,85000000,51691156,TRUE,
22894_Movie,22894,Movie,Legion,Scott Stewart,2010-01-21,2010,5.9,en,38.772,2656,26000000,67900000,TRUE,
51608_Movie,51608,Movie,The Man from Nowhere,Lee Jeong-beom,2010-08-04,2010,7.7,ko,38.694,1348,1255000,43059790,TRUE,
43947_Movie,43947,Movie,I Spit on Your Grave,Steven R. Monroe,2010-06-17,2010,6.5,en,38.125,2344,2000000,572809,TRUE,
44115_Movie,44115,Movie,127 Hours,Danny Boyle,2010-11-12,2010,7.1,en,37.971,7606,18000000,35700000,TRUE,
39514_Movie,39514,Movie,RED,Robert Schwentke,2010-10-13,2010,6.7,en,36.185,6751,58000000,199006387,TRUE,
573531_Movie,573531,Movie,Halo Legends,"Hideki Futamura, Tomoki Kyoda, Koichi Mashimo, Yasushi Muraki, Daisuke Nishio, Koji Sawai, Hiroshi Yamazaki, Takahiro Tanaka, Hiroyuki Kawasaki, Megumi Shimizu, Keiichi Sugiyama, Shinji Aramaki, Toshiyuki Kanno, Mamoru Oshii",2010-02-16,2010,7.3,en,36.147,161,0,11000000,FALSE,
35552_Movie,35552,Movie,The Extraordinary Adventures of Adèle Blanc-Sec,Luc Besson,2010-04-09,2010,6.2,fr,35.816,1368,25000000,34604339,TRUE,
27576_Movie,27576,Movie,Salt,Phillip Noyce,2010-07-21,2010,6.4,en,35.711,5537,110000000,293329073,TRUE,
46738_Movie,46738,Movie,Incendies,Denis Villeneuve,2010-09-17,2010,8.1,fr,35.555,2830,6800000,6788659,TRUE,
44918_Movie,44918,Movie,Titanic II,Shane van Dyke,2010-08-07,2010,5,en,35.09,424,0,0,FALSE,
43949_Movie,43949,Movie,Flipped,Rob Reiner,2010-08-06,2010,8.016,en,34.886,3062,14000000,4324817,TRUE,
43347_Movie,43347,Movie,Love & Other Drugs,Edward Zwick,2010-11-04,2010,7,en,34.685,5196,30000000,102800000,TRUE,
35019_Movie,35019,Movie,Nanny McPhee and the Big Bang,Susanna White,2010-03-26,2010,6.3,en,34.409,1847,35000000,93251121,TRUE,
43593_Movie,43593,Movie,Piranha 3D,Alexandre Aja,2010-08-20,2010,5.4,en,34.009,2238,24000000,83188165,TRUE,
44683_Movie,44683,Movie,Tinker Bell and the Great Fairy Rescue,Bradley Raymond,2010-07-29,2010,6.7,en,33.522,945,0,0,FALSE,
20504_Movie,20504,Movie,The Book of Eli,"Albert Hughes, Allen Hughes",2010-01-14,2010,6.8,en,33.361,6182,80000000,157107755,TRUE,
7978_Movie,7978,Movie,The Wolfman,Joe Johnston,2010-02-10,2010,5.9,en,33.064,2014,150000000,140700000,TRUE,
48466_Movie,48466,Movie,Scared Shrekless,Gary Trousdale,2010-10-28,2010,6.7,en,32.983,469,0,0,FALSE,
34544_Movie,34544,Movie,The A-Team,Joe Carnahan,2010-06-09,2010,6.397,en,32.716,4671,110000000,177238796,TRUE,
38167_Movie,38167,Movie,Eat Pray Love,Ryan Murphy,2010-08-12,2010,6.241,en,32.264,2453,60000000,204594016,TRUE,
72641_Movie,72641,Movie,Azureus Rising,David Weinstein,2010-04-06,2010,6.2,en,31.997,12,0,0,FALSE,
26022_Movie,26022,Movie,My Name Is Khan,Karan Johar,2010-02-10,2010,8,hi,31.503,1333,12000000,42345360,TRUE,
50723_Movie,50723,Movie,Naruto Shippuden the Movie: The Lost Tower,Masahiko Murata,2010-07-31,2010,7.1,ja,31.444,473,0,16537336,FALSE,
49797_Movie,49797,Movie,I Saw the Devil,Kim Jee-woon,2010-08-12,2010,7.794,ko,31.434,2667,6000000,12966357,TRUE,
51620_Movie,51620,Movie,Death Race 2,Roel Reiné,2010-11-12,2010,5.8,en,31.427,1112,7000000,0,FALSE,
46705_Movie,46705,Movie,Blue Valentine,Derek Cianfrance,2010-12-26,2010,6.9,en,31.339,3276,1000000,15440333,TRUE,
