TITLE_KEY,TITLE,RELEASE_YEAR,BUDGET,REVENUE,ROI,POPULARITY,VOTE_AVERAGE
10192_Movie,Shrek Forever After,2010,165000000,752600867,3.56,203.893,6.38
27205_Movie,Inception,2010,160000000,839030630,4.24,156.242,8.369
12444_Movie,Harry Potter and the Deathly Hallows: Part 1,2010,250000000,954305868,2.82,121.191,7.744
38757_Movie,Tangled,2010,260000000,592461732,1.28,111.762,7.6
10191_Movie,How to Train Your Dragon,2010,165000000,494879471,2.00,110.044,7.8
11324_Movie,Shutter Island,2010,80000000,294804195,2.69,101.551,8.2
38575_Movie,The Karate Kid,2010,40000000,359126022,7.98,96.385,6.5
10138_Movie,Iron Man 2,2010,200000000,623933331,2.12,95.255,6.8
38365_Movie,Grown Ups,2010,80000000,271430189,2.39,93.281,6.394
20352_Movie,Despicable Me,2010,69000000,543284256,6.87,86.361,7.2
10193_Movie,Toy Story 3,2010,200000000,1067316101,4.34,83.097,7.8
24021_Movie,The Twilight Saga: Eclipse,2010,68000000,698491347,9.27,81.8,6.204
12155_Movie,Alice in Wonderland,2010,200000000,1025467110,4.13,80.326,6.6
38234_Movie,Undisputed III: Redemption,2010,3000000,282548,-0.91,71.837,7.517
37799_Movie,The Social Network,2010,40000000,224920315,4.62,69.048,7.368
32657_Movie,Percy Jackson & the Olympians: The Lightning Thief,2010,95000000,226497209,1.38,64.865,6.21
23168_Movie,The Town,2010,37000000,154026136,3.16,58.865,7.2
34851_Movie,Predators,2010,40000000,127200000,2.18,58.518,6.3
38055_Movie,Megamind,2010,130000000,321885765,1.48,58.422,6.999
10140_Movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,155000000,415686217,1.68,53.64,6.4
27578_Movie,The Expendables,2010,80000000,274470394,2.43,53.249,6.248
18823_Movie,Clash of the Titans,2010,125000000,493214993,2.95,51.888,5.9
44214_Movie,Black Swan,2010,13000000,329398046,24.34,45.984,7.7
23483_Movie,Kick-Ass,2010,28000000,96188903,2.44,45.668,7.122
20526_Movie,TRON: Legacy,2010,170000000,400062763,1.35,44.783,6.5
26389_Movie,From Paris with Love,2010,52000000,52800000,0.02,43.037,6.27
10196_Movie,The Last Airbender,2010,150000000,319713881,1.13,42.597,4.6
27581_Movie,The Other Guys,2010,100000000,170432927,0.70,40.669,6.3
9543_Movie,Prince of Persia: The Sands of Time,2010,200000000,336365676,0.68,39.509,6.3
22538_Movie,Scott Pilgrim vs. the World,2010,85000000,51691156,-0.39,39.321,7.491
22894_Movie,Legion,2010,26000000,67900000,1.61,38.772,5.9
51608_Movie,The Man from Nowhere,2010,1255000,43059790,33.31,38.694,7.7
43947_Movie,I Spit on Your Grave,2010,2000000,572809,-0.71,38.125,6.5
44115_Movie,127 Hours,2010,18000000,35700000,0.98,37.971,7.1
39514_Movie,RED,2010,58000000,199006387,2.43,36.185,6.7
35552_Movie,The Extraordinary Adventures of Adèle Blanc-Sec,2010,25000000,34604339,0.38,35.816,6.2
27576_Movie,Salt,2010,110000000,293329073,1.67,35.711,6.4
46738_Movie,Incendies,2010,6800000,6788659,0.00,35.555,8.1
43949_Movie,Flipped,2010,14000000,4324817,-0.69,34.886,8.016
43347_Movie,Love & Other Drugs,2010,30000000,102800000,2.43,34.685,7
35019_Movie,Nanny McPhee and the Big Bang,2010,35000000,93251121,1.66,34.409,6.3
43593_Movie,Piranha 3D,2010,24000000,83188165,2.47,34.009,5.4
20504_Movie,The Book of Eli,2010,80000000,157107755,0.96,33.361,6.8
7978_Movie,The Wolfman,2010,150000000,140700000,-0.06,33.064,5.9
34544_Movie,The A-Team,2010,110000000,177238796,0.61,32.716,6.397
38167_Movie,Eat Pray Love,2010,60000000,204594016,2.41,32.264,6.241
26022_Movie,My Name Is Khan,2010,12000000,42345360,2.53,31.503,8
49797_Movie,I Saw the Devil,2010,6000000,12966357,1.16,31.434,7.794
46705_Movie,Blue Valentine,2010,1000000,15440333,14.44,31.339,6.9
33217_Movie,Diary of a Wimpy Kid,2010,15000000,76196538,4.08,31.191,6.2
20662_Movie,Robin Hood,2010,200000000,321669741,0.61,30.765,6.4
51739_Movie,The Secret World of Arrietty,2010,23000000,149660003,5.51,30.708,7.663
25195_Movie,Leap Year,2010,19000000,32686500,0.72,30.524,6.9
27022_Movie,The Sorcerer's Apprentice,2010,150000000,215300000,0.44,30.261,6.117
34016_Movie,She's Out of My League,2010,20000000,49800000,1.49,30.201,6.5
41439_Movie,Saw 3D,2010,20000000,136151680,5.81,28.494,5.989
37834_Movie,Knight and Day,2010,117000000,261989769,1.24,27.899,6.2
46838_Movie,Tucker and Dale vs. Evil,2010,5000000,5224938,0.04,27.886,7.379
38358_Movie,The Last Exorcism,2010,1800000,69400000,37.56,26.482,5.7
41733_Movie,Due Date,2010,65000000,211800000,2.26,26.461,6.382
23437_Movie,A Nightmare on Elm Street,2010,35000000,115664037,2.30,26.168,5.5
22907_Movie,Takers,2010,32000000,80205382,1.51,26.106,6.229
45269_Movie,The King's Speech,2010,15000000,414211549,26.61,25.936,7.7
