GENRE,TYPE,YEAR_ADDED,TITLE_COUNT,AVG_RATING
Adventure,Movie,2010-01-01,110,6.146254545
Animation,Movie,2010-01-01,104,6.761759615
Romance,Movie,2010-01-01,179,6.157636872
TV Movie,Movie,2010-01-01,61,5.752278689
Comedy,Movie,2011-01-01,344,6.046142442
Western,Movie,2011-01-01,5,5.9776
Science Fiction,Movie,2012-01-01,92,5.651293478
Fantasy,Movie,2012-01-01,86,6.474034884
History,Movie,2012-01-01,34,6.555235294
Mystery,Movie,2014-01-01,68,6.178014706
Science Fiction,Movie,2015-01-01,103,6.037417476
Adventure,Movie,2015-01-01,120,6.503208333
History,Movie,2015-01-01,58,6.80762069
Documentary,Movie,2011-01-01,55,7.139090909
War,Movie,2011-01-01,28,6.105642857
TV Movie,Movie,2011-01-01,62,5.968854839
Crime,Movie,2013-01-01,121,6.297785124
History,Movie,2013-01-01,29,6.842275862
Animation,Movie,2014-01-01,88,6.946375
Comedy,Movie,2015-01-01,295,6.167962712
War,Movie,2015-01-01,28,6.527321429
Action,Movie,2016-01-01,212,6.125254717
Action,Movie,2017-01-01,214,6.279785047
History,Movie,2017-01-01,55,6.750781818
Thriller,Movie,2021-01-01,240,6.142933333
Horror,Movie,2023-01-01,171,5.97905848
Music,Movie,2013-01-01,31,6.892193548
Action,Movie,2014-01-01,199,6.106271357
Mystery,Movie,2016-01-01,75,6.07296
Documentary,Movie,2017-01-01,50,6.99162
Animation,Movie,2019-01-01,111,7.093873874
Western,Movie,2019-01-01,7,6.297857143
Documentary,Movie,2019-01-01,42,7.043571429
Drama,Movie,2020-01-01,420,6.332297619
Horror,Movie,2020-01-01,161,5.909782609
Comedy,Movie,2021-01-01,245,6.54
Science Fiction,Movie,2022-01-01,93,6.382376344
Fantasy,Movie,2023-01-01,97,6.746927835
Documentary,Movie,2020-01-01,57,7.319438596
Romance,Movie,2023-01-01,152,6.216651316
Animation,Movie,2024-01-01,86,7.01344186
Crime,Movie,2024-01-01,122,6.368377049
Crime,Movie,2025-01-01,65,2.097569231
Adventure,Movie,2025-01-01,55,1.646709091
War,Movie,2025-01-01,10,3.4388
Science Fiction,Movie,2025-01-01,56,1.385785714
Sci-Fi & Fantasy,TV Show,2013-01-01,103,5.986252427
Comedy,TV Show,2016-01-01,331,6.155178248
Family,TV Show,2010-01-01,91,5.305483516
Drama,TV Show,2019-01-01,510,6.284733333
Drama,TV Show,2017-01-01,514,5.994714008
Kids,TV Show,2014-01-01,67,5.586940299
Sci-Fi & Fantasy,TV Show,2018-01-01,117,7.200376068
Kids,TV Show,2024-01-01,26,6.194730769
Comedy,TV Show,2014-01-01,306,5.988937908
Animation,TV Show,2020-01-01,173,6.606716763
