COUNTRY,YEAR_ADDED,TITLE_COUNT
China,2010-01-01,106
Switzerland,2010-01-01,10
Italy,2010-01-01,48
Belgium,2010-01-01,21
Hong Kong,2011-01-01,49
Sweden,2011-01-01,21
Qatar,2011-01-01,2
Austria,2011-01-01,14
Sweden,2012-01-01,26
Russia,2012-01-01,32
Thailand,2012-01-01,16
South Korea,2016-01-01,162
Mexico,2016-01-01,37
Australia,2020-01-01,34
United States of America,2011-01-01,680
Japan,2012-01-01,189
Turkey,2012-01-01,22
Germany,2013-01-01,94
Sweden,2013-01-01,15
Canada,2013-01-01,103
South Africa,2014-01-01,11
Bulgaria,2017-01-01,6
South Africa,2018-01-01,9
Norway,2019-01-01,21
Kyrgyz Republic,2025-01-01,2
Israel,2017-01-01,7
United States of America,2013-01-01,677
Mexico,2012-01-01,34
India,2013-01-01,63
Germany,2014-01-01,93
Denmark,2014-01-01,27
Taiwan,2015-01-01,17
Spain,2015-01-01,45
Bolivia,2016-01-01,2
Malaysia,2016-01-01,3
Germany,2016-01-01,72
Russia,2018-01-01,31
Ukraine,2018-01-01,4
Thailand,2018-01-01,12
New Zealand,2018-01-01,5
Canada,2019-01-01,119
Philippines,2019-01-01,24
Hungary,2020-01-01,7
Sweden,2020-01-01,24
Austria,2020-01-01,6
Sweden,2022-01-01,22
Italy,2022-01-01,38
Philippines,2022-01-01,43
India,2022-01-01,57
Chile,2023-01-01,14
India,2024-01-01,58
Slovakia,2024-01-01,4
Austria,2025-01-01,5
Taiwan,2025-01-01,12
Thailand,2024-01-01,47
Venezuela,2012-01-01,6
Kuwait,2011-01-01,1
Colombia,2022-01-01,8
Taiwan,2023-01-01,23
Brazil,2014-01-01,35
Egypt,2019-01-01,13
Hungary,2017-01-01,9
Philippines,2011-01-01,43
United States of America,2017-01-01,739
Germany,2017-01-01,79
United Kingdom,2018-01-01,176
Austria,2018-01-01,9
Slovakia,2020-01-01,4
Thailand,2020-01-01,11
United Kingdom,2022-01-01,164
Iceland,2022-01-01,4
