CAST_MEMBER,TITLE_COUNT,AVG_RATING
Helena Bonham Carter,18,6.854722222
Lyndsy Fonseca,7,6.812285714
Alexa Davalos,2,6.7
Ben Kingsley,32,6.48578125
Mark Strong,34,6.260382353
Rodrigo Dos Santos,1,7.2
Michael Mcmillian,2,5.7095
Wakana Yamazaki,19,6.817736842
Yoon Jeong-Hee,1,7.6
Kim Cattrall,3,6.1
Sterling Knight,5,6.0154
Etsuko Kozakura,8,7.0625
Toshio Furukawa,7,7.462714286
Thandiwe Newton,10,5.7132
Mia Wasikowska,17,6.431352941
Scott Cohen,4,6.775
Jacki Weaver,19,6.252473684
Katie Holmes,14,5.911
Manmeet Singh,1,6.6
Jose Masegosa,1,5.573
Ozzy Osbourne,1,7
Nahed El Sebai,3,6.626333333
Kevin Otto,1,6.2
Emma Stone,24,6.66925
Park Sang-Wook,3,6.466666667
Phylicia Rashād,8,6.701
Trine Dyrholm,11,6.866636364
Sarah Lieving,4,4.93875
Jonathan Pienaar,1,4.9
Christian Cooke,6,5.901833333
Pål Stokka,1,5.8
Seth Green,10,6.3162
Michael Peña,24,6.171875
Camilla Belle,6,5.433333333
Virginie Efira,21,6.347
Anna Fischer,3,6.192
Sarah Desage,1,3.6
Claudio Santamaria,13,6.737076923
Philippe Nahon,3,5.4
Ronald Cheng Chung-Kei,8,6.60525
Mike Starr,1,5.9
Stellan Skarsgård,18,6.986
Arié Elmaleh,5,5.3934
Seth Petterson,1,5.3
Chris Wedge,3,6.6
Ian Kahn,1,5.7
Mark Rendall,3,6.237666667
Michael Aills,1,3.9
Ryohei Kimura,38,7.435868421
Billy Aaron Brown,1,3.7
Jen Kober,1,4.8
Brittney Wilson,5,6.08
Laura Bailey,23,6.614347826
Tom Wilkinson,19,6.263736842
Ludivine Sagnier,10,6.3844
Ko Chang-Seok,8,7.12225
Hiroshi Abe,9,6.757
Chitrangda Singh,1,6.2
Puri Hiranprueck,3,1.9
Tom Audenaert,3,5.8
Emmanuel Mouret,1,5.9
Thomas Brodie-Sangster,18,7.110833333
Clare Niederpruem,2,3.9
Yuki Kaji,69,7.319971429
Cody H. Carolin,2,5.75
Paul Chun Pui,6,6.029833333
Nat Faxon,13,6.459307692
Nora Arnezeder,7,6.110571429
Joey Smack,1,5.6
Loai Nofi,1,6.9
Karin Viard,14,5.862357143
Soichiro Hoshi,10,6.6667
Mark Wahlberg,33,6.480090909
Tom Selleck,6,6.75
Gil Bellows,6,5.882
Luke Ford,4,6.226
Abbey Digregorio,1,6.4
Toni Servillo,15,6.731733333
Elina Löwensohn,4,6.325
Jo Prestia,1,5.8
Chloë Sevigny,15,6.323866667
Amanda Fuller,5,6.0996
Sorapong Chatree,1,5.6
Vincent Elbaz,8,6.249625
Erich Wildpret,1,7.6
Jaime Mcmanus,1,5
Ingrid Olerinskaya,2,6.3
Uday Chopra,2,5.55
Ge You,6,6.674
Craig Anton,1,6.3
Cary Elwes,13,5.886538462
Hidetoshi Nishijima,12,7.257
Amanda Seyfried,31,5.834741935
Chris Evans,25,7.19276
Nicholas Tse Ting-Fung,9,4.9
Elias Koteas,8,6.2795
Yuriko Yoshitaka,8,7.272875
Kelen Coleman,2,4.5995
Goran D. Kleut,1,5.742
Gina Varela,1,5.625
Amanda Crew,6,6.447333333
Rikako Aikawa,3,5.333333333
Alfred Molina,17,6.446882353
Maurice Cole,2,6.9
Mark Duplass,16,6.224
Emma Schweiger,3,6.533333333
Júlio Machado,2,7.3
Robert Pattinson,21,6.310809524
Minka Kelly,7,5.240142857
Sarah Hyland,8,5.81375
John Hurt,15,6.787666667
Sabu Kawahara,3,7.266666667
Joaquín Cosío,14,7.121428571
Clive Owen,19,6.310368421
Danielle Nicolet,6,6.0875
Faith Ford,2,5.05
Francesco Pannofino,3,6.320333333
Charlotte De Turckheim,1,5
Peter Conradi,1,7.9
Elsa Zylberstein,11,5.734454545
Sergio Rubini,1,6
Imran Khan,4,6.1
Yan-Kay Crystal Lowe,6,6.190666667
Kate Mara,17,5.597235294
Bobby Fischer,1,6.849
You,6,7.35
Prabhu Deva,6,5.137
Raphaël Ferret,2,6.779
David Richmond-Peck,3,5.917333333
Miguel Ángel Silvestre,7,6.850714286
Yuka Terasaki,7,6.804857143
Borisa Tyutyundzhieva,1,5.4
Jeff Bennett,17,6.315823529
Sam Worthington,32,6.08496875
Ayush Tandon,1,7.4
Yu Aoi,13,6.679
Chelsea Handler,3,5.612
Jennifer Lawrence,20,6.70685
Alan Rickman,7,6.505428571
Michael Ealy,13,6.325
Holliday Grainger,10,6.7628
Rob Brydon,9,5.765333333
Jean Reno,24,6.05075
Alessandra Torresani,4,6.35475
Connie Britton,14,6.296
Alec Baldwin,26,5.752269231
James Ransone,8,5.9835
Huang Yi,5,4.96
Julie Stewart,1,6.8
